spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
59D4DOkspUbWyMmbAPQkxZ,VOY A LLeVARTE PA PR,Bad Bunny,48,2,2,BE,1/21/2025,92,TRUE,156364,DeBÍ TiRAR MáS FOToS,1/5/2025,0.148,0.604,7,-35.032,1,0.0588,0.921,0.453,0.405,1.00E-05,106.295,3
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,49,0,1,BE,1/21/2025,88,FALSE,253920,Synchronicity (Remastered 2003),6/17/1983,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
2FAZskT9yRjp2Oow9szJD8,The Days - NOTION Remix,"Chrystal, NOTION",50,0,0,BE,1/21/2025,84,FALSE,233229,The Days (NOTION Remix),11/8/2024,0.62,0.843,6,-5.321,0,0.0844,0.0062,4.63E-06,0.55,0.237,137.812,4
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,1,1,0,AU,1/21/2025,96,TRUE,166300,The Secret of Us (Deluxe),10/18/2024,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",2,-1,0,AU,1/21/2025,90,FALSE,169917,rosie,12/6/2024,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",3,0,1,AU,1/21/2025,100,FALSE,251667,Die With A Smile,8/16/2024,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,4,0,-1,AU,1/21/2025,84,TRUE,284066,This Wasn't Meant For You Anyway,6/21/2024,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
2FAZskT9yRjp2Oow9szJD8,The Days - NOTION Remix,"Chrystal, NOTION",5,0,0,AU,1/21/2025,84,FALSE,233229,The Days (NOTION Remix),11/8/2024,0.62,0.843,6,-5.321,0,0.0844,0.0062,4.63E-06,0.55,0.237,137.812,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,6,0,0,AU,1/21/2025,97,FALSE,210373,HIT ME HARD AND SOFT,5/17/2024,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,7,1,0,AU,1/21/2025,93,FALSE,211978,Sailor Song,7/26/2024,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,8,1,1,AU,1/21/2025,90,FALSE,157279,Short n' Sweet,8/23/2024,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,9,-2,-1,AU,1/21/2025,83,TRUE,171291,"Where I've Been, Isn't Where I'm Going",5/31/2024,0.722,0.706,9,-4.857,1,0.0292,0.072,0,0.067,0.599,80.969,4
5IZXB5IKAD2qlvTPJYDCFB,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",10,0,1,AU,1/21/2025,84,TRUE,178205,F-1 Trillion,8/15/2024,0.644,0.874,0,-4.723,1,0.0265,0.0113,0,0.227,0.753,128.017,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,11,0,2,AU,1/21/2025,92,FALSE,218423,"Good Luck, Babe!",4/5/2024,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
